,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration
73,2010-03-15 00:00:00+00:00,34.5,23.6,28.63125,37.777107,27.489458,32.216896,0,0,43378.832
74,2010-03-16 00:00:00+00:00,33.7,23.3,28.114584,37.91329,28.05529,32.251987,0,0,43423.34
75,2010-03-17 00:00:00+00:00,32.75,23.3,27.508331,37.256836,28.122986,31.719286,0,0,43467.883
76,2010-03-18 00:00:00+00:00,31.6,21.55,26.791664,35.646984,25.271572,30.809507,0,0,43512.44
77,2010-03-19 00:00:00+00:00,32.75,21.3,27.004166,37.110622,24.880035,31.01764,0,0,43556.98
78,2010-03-20 00:00:00+00:00,34.55,22.3,27.529165,38.139637,26.618967,31.600931,0,0,43601.47
79,2010-03-21 00:00:00+00:00,34.85,22.9,27.681246,38.97181,26.890621,31.67687,0,0,43645.875
80,2010-03-22 00:00:00+00:00,34.85,22.95,28.07917,37.412872,26.295439,31.227919,0,0,43690.176
81,2010-03-23 00:00:00+00:00,34.25,23.9,28.27917,37.44904,27.381037,31.424536,0,0,43734.332
82,2010-03-24 00:00:00+00:00,34.1,24.1,28.335413,37.685028,27.332241,31.68254,0,0,43778.32
83,2010-03-25 00:00:00+00:00,33.9,24.35,28.416666,37.86017,28.66462,32.003265,0,0,43822.11
84,2010-03-26 00:00:00+00:00,33.8,24.65,28.962502,38.025257,29.245583,33.070187,0,0,43865.66
85,2010-03-27 00:00:00+00:00,34.25,26.25,29.622917,38.945984,31.573238,34.11493,0,0,43909.004
86,2010-03-28 00:00:00+00:00,33.95,26.6,29.681257,39.10116,31.804718,34.1005,0,0,43952.44
87,2010-03-29 00:00:00+00:00,34.8,26.5,29.893751,39.32469,31.86071,34.26899,0,0,43996.008
88,2010-03-30 00:00:00+00:00,35.55,27.1,30.722914,39.407158,31.861462,34.473057,0,0,44039.664
89,2010-03-31 00:00:00+00:00,36.55,27.8,31.17292,40.714123,31.45974,35.29713,0,0,44083.395
90,2010-04-01 00:00:00+00:00,37.15,27.6,31.222914,42.057384,31.797413,36.039524,0,0,44127.164
91,2010-04-02 00:00:00+00:00,36.65,27.15,30.995842,41.118614,32.582874,35.365192,0,0,44170.945
92,2010-04-03 00:00:00+00:00,35.1,26.6,30.247917,40.062325,32.24827,34.867935,0,0,44214.707
93,2010-04-04 00:00:00+00:00,35.0,25.75,29.627085,39.34558,31.381908,34.087513,0,0,44258.426
94,2010-04-05 00:00:00+00:00,35.1,25.9,29.929163,40.30014,31.654472,34.703766,0,0,44302.07
95,2010-04-06 00:00:00+00:00,35.65,26.2,30.141668,40.32973,31.527985,34.805386,0,0,44345.61
96,2010-04-07 00:00:00+00:00,34.85,26.55,29.958334,39.830887,32.308945,34.84438,0,0,44389.01
97,2010-04-08 00:00:00+00:00,34.45,26.85,30.150003,39.406292,33.235603,35.427406,0,0,44432.25
98,2010-04-09 00:00:00+00:00,35.8,26.45,30.377083,41.301785,31.420853,35.41551,0,0,44475.3
99,2010-04-10 00:00:00+00:00,37.05,26.5,30.427084,40.18001,30.614746,33.935173,0,0,44518.117
100,2010-04-11 00:00:00+00:00,36.6,26.6,30.70417,41.072887,30.482025,34.71103,0,0,44560.68
101,2010-04-12 00:00:00+00:00,36.65,27.6,31.08333,40.22979,32.254982,35.31631,0,0,44602.953
102,2010-04-13 00:00:00+00:00,35.95,28.15,31.139582,40.93725,32.67478,35.696133,0,0,44644.906
103,2010-04-14 00:00:00+00:00,36.1,28.1,31.137503,41.23251,33.670086,35.955578,0,0,44686.5
104,2010-04-15 00:00:00+00:00,35.1,27.95,30.658333,40.5483,33.007362,35.545315,0,0,44727.71
105,2010-04-16 00:00:00+00:00,34.95,27.85,30.50208,39.084984,33.026657,34.95053,0,0,44768.55
106,2010-04-17 00:00:00+00:00,34.8,27.75,30.654167,39.06739,32.835957,35.014294,0,0,44809.32
107,2010-04-18 00:00:00+00:00,36.05,28.1,31.108335,40.713234,32.521133,35.390156,0,0,44850.04
108,2010-04-19 00:00:00+00:00,36.75,28.35,31.481249,40.785942,32.548298,35.481686,0,0,44890.676
109,2010-04-20 00:00:00+00:00,37.45,28.65,31.827085,42.538017,32.782337,36.26096,0,0,44931.203
